phi;theta;psi
0,959;-30,69;-179,698
-23,662;-90,0;179,306
-3,404;-90,0;-179,962
1,8;-90,0;-177,667
-21,786;-56,332;-177,205
-6,483;-90,0;-176,439
35,914;-46,085;-175,94
20,89;-55,522;-176,114
-9,774;-77,753;-175,567
29,943;-90,0;-175,175
12,454;-29,602;-174,694
31,026;-56,209;-173,951
16,597;-43,889;-174,057
40,226;-90,0;-173,598
28,441;-90,0;-172,587
37,114;-63,891;-172,849
29,771;-53,791;-172,019
12,415;-90,0;-171,507
31,651;-16,476;-170,869
54,366;-29,479;-170,779
27,6;-58,558;-170,494
38,859;-36,163;-169,785
32,337;-90,0;-169,682
47,9;-42,401;-169,087
54,154;-39,294;-168,617
42,616;-18,664;-168,415
51,025;-8,985;-167,948
37,52;-38,227;-167,441
46,35;1,024;-167,455
54,532;-18,117;-166,481
40,821;-15,778;-166,416
50,511;-90,0;-165,578
49,66;-37,294;-165,082
39,25;1,858;-164,987
48,678;-12,069;-164,017
35,247;-9,447;-164,702
37,633;5,111;-163,674
30,731;10,407;-163,582
46,815;-24,405;-163,339
56,948;1,654;-162,432
35,458;17,67;-161,526
32,749;29,881;-161,883
42,188;-9,716;-160,981
38,042;8,206;-160,833
39,288;-24,833;-160,362
46,021;-5,595;-159,94
51,273;-1,932;-159,835
23,175;23,254;-159,071
39,168;43,141;-159,816
32,113;26,24;-159,752
35,004;8,513;-157,457
32,889;3,677;-157,206
27,925;23,764;-156,481
7,641;-6,302;-156,262
24,216;38,536;-155,653
15,569;-23,853;-155,545
1,5;-23,704;-155,014
22,05;35,613;-155,138
-10,56;5,902;-154,365
-3,01;-4,151;169,88
6,735;-5,539;169,742
-6,083;-19,155;170,008
-28,845;-12,251;170,975
-27,881;-14,966;170,997
-27,752;-10,626;171,92
-14,011;-17,967;172,647
10,576;-18,991;172,782
1,102;0,357;2,732
0,932;-0,557;3,385
0,94;0,328;2,818
1,183;0,344;2,961
0,689;-0,02;2,879
1,312;-0,669;2,824
0,694;0,362;2,687
0,379;-0,417;2,688
1,222;-0,466;3,006
1,343;-0,402;3,245
1,237;-0,403;2,677
0,725;0,093;2,564
0,818;0,108;3,056
1,348;-0,575;2,45
1,057;0,07;2,504
1,178;0,119;2,808
1,086;0,144;3,056
0,939;-0,003;3,287
1,016;-0,111;3,144
1,337;0,19;2,771
1,156;-0,328;2,747
-162,215;-90,0;161,172
-161,002;-90,0;161,586
-161,057;-90,0;162,227
-160,636;90,0;166,608
-169,93;90,0;167,457
179,936;90,0;164,547
179,734;90,0;164,104
179,815;90,0;164,242
179,069;90,0;163,942
177,548;90,0;163,593
176,924;90,0;163,392
176,644;90,0;163,532
178,77;90,0;164,265
178,231;90,0;164,051
178,4;90,0;164,41
177,737;90,0;164,064
178,53;90,0;165,053
178,237;90,0;165,169
178,848;90,0;165,563
179,091;90,0;166,577
179,228;90,0;167,677
179,954;90,0;169,154
-179,921;90,0;170,504
-179,809;90,0;171,149
-179,543;90,0;173,96
-179,619;90,0;174,108
-179,442;90,0;175,138
-179,726;90,0;176,577
-179,24;1,031;176,402
-179,681;-90,0;176,986
-179,165;-78,979;177,616
-179,167;-90,0;177,635
-179,511;-90,0;177,685
-179,534;-90,0;178,073
-179,288;-90,0;178,063
-179,314;-90,0;178,208
-179,544;-90,0;178,414
-179,386;-90,0;178,458
-179,302;-90,0;178,12
-179,49;-90,0;178,073
-179,268;-90,0;178,126
-179,232;-90,0;178,245
-179,399;-90,0;178,446
-179,25;-90,0;178,525
-179,34;-90,0;178,426
-179,35;-90,0;178,329
-178,934;-90,0;178,431
-178,973;-90,0;177,78
-178,956;-90,0;177,786
-178,539;-90,0;177,543
-178,478;-90,0;177,24
-179,019;-90,0;177,483
-178,477;-90,0;177,058
-178,261;-90,0;176,441
-178,079;-90,0;175,658
-177,282;-90,0;174,319
-177,854;-90,0;175,132
-175,343;-90,0;170,303
-175,962;-90,0;170,534
-174,115;-90,0;167,073
-173,518;-90,0;166,46
-172,894;-90,0;164,902
-172,366;-90,0;164,384
-171,266;-90,0;163,418
-171,048;-90,0;162,854
-171,146;-90,0;162,599
-170,126;-90,0;162,425
-170,482;-90,0;162,601
-169,796;-90,0;162,086
-170,096;-90,0;162,155
-169,452;-90,0;161,797
-168,976;-90,0;161,597
-168,709;-90,0;161,356
-167,986;-90,0;161,208
-168,238;-90,0;161,515
-167,442;-90,0;160,91
-167,636;-90,0;161,043
-167,412;-90,0;161,033
-166,697;-90,0;160,737
-167,318;-90,0;161,132
-166,344;-90,0;160,747
-165,392;-90,0;160,738
-166,928;-90,0;161,364
